Id,Date,Open,High,Low,Close,Volume,Turnover,Indices
31,18-11-2011,2784.8,2784.8,2728.5,2768.9,45381575,10487900000,NIFTY METAL
32,21-11-2011,2748.05,2749.15,2661.5,2671.85,33603910,6913200000,NIFTY METAL
33,22-11-2011,2717.05,2746.85,2679.75,2711.35,36433275,8672800000,NIFTY METAL
34,23-11-2011,2691.55,2691.55,2621.25,2659,31014047,6900300000,NIFTY METAL
35,24-11-2011,2656.65,2675.1,2599.3,2667.4,46238652,9570100000,NIFTY METAL
36,25-11-2011,2648.8,2662.15,2606.4,2615.2,35168987,7283400000,NIFTY METAL
37,28-11-2011,2653.1,2754.35,2653.1,2745.2,39058422,8523400000,NIFTY METAL
38,29-11-2011,2761.8,2764.8,2696.9,2706.8,39580990,8296700000,NIFTY METAL
39,30-11-2011,2689.55,2722.45,2663.8,2710.3,65074804,9997600000,NIFTY METAL
40,01-12-2011,2814.2,2867.65,2798.9,2818.9,52206277,10721100000,NIFTY METAL
41,02-12-2011,2816.9,2907.55,2790.65,2894.05,43811829,9911700000,NIFTY METAL
42,05-12-2011,2884.65,2894.1,2850.75,2865.3,34789577,7450000000,NIFTY METAL
43,07-12-2011,2871.95,2900.9,2862,2877.3,45430780,9509700000,NIFTY METAL
44,08-12-2011,2859.8,2862.7,2776.3,2786.85,44876467,8437100000,NIFTY METAL
45,09-12-2011,2732.85,2798.4,2709.6,2762.55,45023155,8555000000,NIFTY METAL
46,12-12-2011,2790.6,2794.45,2643.5,2652.05,45651939,8385000000,NIFTY METAL
47,13-12-2011,2631.9,2730.85,2618.8,2710.05,51108346,9143500000,NIFTY METAL
48,14-12-2011,2702,2720.6,2645.95,2652.15,38283506,7551000000,NIFTY METAL
49,15-12-2011,2616.05,2660.35,2581.55,2652.35,43548979,8775900000,NIFTY METAL
50,16-12-2011,2662.35,2690,2571.2,2580.3,45571129,8636700000,NIFTY METAL
51,19-12-2011,2561.5,2566.45,2517.65,2562.3,35604951,6835200000,NIFTY METAL
52,20-12-2011,2578.8,2582,2462.5,2470.6,40356611,8177400000,NIFTY METAL
53,21-12-2011,2531.3,2542.1,2491.7,2535.25,41240920,9359200000,NIFTY METAL
54,22-12-2011,2511.75,2556.1,2481.35,2545.15,39988842,8992100000,NIFTY METAL
55,23-12-2011,2565.9,2582.1,2516.25,2529.2,35093868,7521100000,NIFTY METAL
56,26-12-2011,2542.35,2570.6,2537.7,2563.8,23246349,4994900000,NIFTY METAL
57,27-12-2011,2561.75,2582.1,2512.5,2525.65,21405365,4677300000,NIFTY METAL
58,28-12-2011,2521.15,2529.7,2459.75,2478.9,31313835,7127900000,NIFTY METAL
59,29-12-2011,2463.95,2498.85,2446.35,2486.25,46404559,9786200000,NIFTY METAL
60,30-12-2011,2492,2507.85,2452.65,2464.6,29413500,6004800000,NIFTY METAL
61,02-01-2012,2478.1,2501.05,2439.25,2495.1,32003664,7372400000,NIFTY METAL
62,03-01-2012,2519.05,2624.65,2519.05,2618.65,47115158,11231600000,NIFTY METAL
63,04-01-2012,2629.35,2647,2603.85,2626.65,43608826,9722900000,NIFTY METAL
64,05-01-2012,2624.95,2651.7,2591.15,2610.1,34997858,8287400000,NIFTY METAL
65,06-01-2012,2587.7,2629,2542.05,2601.95,33156824,7451100000,NIFTY METAL
66,07-01-2012,2601.4,2604.65,2596.1,2603.05,2633760,550400000,NIFTY METAL
67,09-01-2012,2601.4,2617.05,2549.95,2603.9,30001748,7008700000,NIFTY METAL
68,10-01-2012,2618.05,2696.15,2618.05,2686.35,44357674,10319800000,NIFTY METAL
69,11-01-2012,2700.7,2755.5,2689.6,2748.5,54813520,11416500000,NIFTY METAL
70,12-01-2012,2747.95,2795.75,2735.4,2780.95,38232912,8821200000,NIFTY METAL
71,13-01-2012,2796.8,2914.3,2796.8,2872.3,66406516,16961500000,NIFTY METAL
72,16-01-2012,2854.75,2904.65,2831.3,2882.4,37362172,9199800000,NIFTY METAL
73,17-01-2012,2900.85,3015.45,2900.85,2984.9,58722288,13829400000,NIFTY METAL
74,18-01-2012,2995.5,2995.5,2896.1,2927.05,43598420,11597300000,NIFTY METAL
75,19-01-2012,2959.9,3013.7,2959.9,3006.85,51165322,11566300000,NIFTY METAL
76,20-01-2012,3023.7,3027.6,2973.5,3002.45,45308090,11623600000,NIFTY METAL
77,23-01-2012,2998.7,3005.55,2926.45,2936.15,36424429,8022800000,NIFTY METAL
78,24-01-2012,2934.75,3004.85,2918.75,2985.6,44880893,10739600000,NIFTY METAL
79,25-01-2012,3005.85,3050.05,3000.8,3042.35,52965942,12313800000,NIFTY METAL
80,27-01-2012,3078,3119.25,3077.15,3101.65,58079677,12302000000,NIFTY METAL
81,30-01-2012,3082.35,3082.35,2993.3,3008.3,40070299,10105700000,NIFTY METAL
82,31-01-2012,3026.3,3089.9,2982.1,3073.8,53189150,12746500000,NIFTY METAL
83,01-02-2012,3078.1,3172.15,3057.8,3164.65,68183262,16902900000,NIFTY METAL
84,02-02-2012,3191.6,3232.6,3172.15,3215.3,72794301,16247800000,NIFTY METAL
85,03-02-2012,3215.65,3215.65,3159.65,3179.25,45565213,10641800000,NIFTY METAL
86,06-02-2012,3219.45,3250.05,3190.85,3222.85,51780095,12878500000,NIFTY METAL
87,07-02-2012,3267.3,3267.3,3158.05,3171.55,40543492,11121000000,NIFTY METAL
88,08-02-2012,3182.9,3254.3,3165.85,3222.95,53007419,13956200000,NIFTY METAL
89,09-02-2012,3201.2,3291.55,3175.4,3286.9,83169301,19809100000,NIFTY METAL
90,10-02-2012,3246.2,3346.35,3246.2,3310.5,66695674,20506900000,NIFTY METAL
91,13-02-2012,3318,3382.5,3273.2,3346.85,50656495,12914800000,NIFTY METAL
92,14-02-2012,3341.6,3383.25,3340.4,3358.45,45858228,11939800000,NIFTY METAL
93,15-02-2012,3384.05,3437.3,3384.05,3429.35,64425127,14860900000,NIFTY METAL
94,16-02-2012,3410.9,3413.45,3346.7,3367.5,71394162,18872200000,NIFTY METAL
95,17-02-2012,3406.55,3455.5,3355.8,3369.4,83265896,19968300000,NIFTY METAL
96,21-02-2012,3380.95,3444.35,3377.55,3398.45,61269074,14209800000,NIFTY METAL
97,22-02-2012,3411.45,3431.1,3236.4,3248.4,70260601,15007100000,NIFTY METAL
98,23-02-2012,3246.15,3256,3180.9,3211.7,85201436,17023600000,NIFTY METAL
99,24-02-2012,3225.8,3269.65,3211,3247.1,71368850,14835300000,NIFTY METAL
100,27-02-2012,3266.8,3266.8,3071.15,3083.2,81695984,16756900000,NIFTY METAL
101,28-02-2012,3098.95,3198.6,3098.95,3189.4,54046772,12047700000,NIFTY METAL
102,29-02-2012,3224.4,3261.25,3170.3,3236.65,52124271,12506100000,NIFTY METAL
103,01-03-2012,3222.85,3235.5,3175.3,3205.7,44156235,10697000000,NIFTY METAL
104,02-03-2012,3228.35,3257.25,3194.9,3210.15,40608480,9384200000,NIFTY METAL
105,03-03-2012,3209.45,3219.9,3207.8,3211.5,6929154,837600000,NIFTY METAL
106,05-03-2012,3192.45,3192.75,3102.45,3107.75,29293035,6861400000,NIFTY METAL
107,06-03-2012,3093.9,3159.65,2968.1,2981.1,60721202,13924000000,NIFTY METAL
108,07-03-2012,2966.95,2986.9,2902.65,2939.15,61410707,13142200000,NIFTY METAL
109,09-03-2012,2988.9,3099.05,2988.9,3090.5,51423753,12175400000,NIFTY METAL
110,12-03-2012,3132.75,3144.6,3074.8,3121.95,37956847,9558100000,NIFTY METAL
111,13-03-2012,3144.4,3236.35,3144.4,3213.95,44786397,11141500000,NIFTY METAL
112,14-03-2012,3257.6,3270.75,3205.05,3212.1,40489512,10868600000,NIFTY METAL
113,15-03-2012,3199.9,3199.9,3145,3170.85,34003869,9284900000,NIFTY METAL
114,16-03-2012,3174.3,3213.7,3095.3,3106.45,39726876,10466100000,NIFTY METAL
115,19-03-2012,3102.9,3141.9,3066.95,3082.55,31731476,7069500000,NIFTY METAL
116,20-03-2012,3079.15,3123.75,3063.65,3083.75,37305132,9318500000,NIFTY METAL
117,21-03-2012,3077.4,3153.15,3048.35,3141.95,46992323,11023900000,NIFTY METAL
118,22-03-2012,3135.2,3143.1,3024.65,3033.95,56219941,15042700000,NIFTY METAL
119,23-03-2012,3038.2,3072.9,2984.95,3018.4,42219930,11233400000,NIFTY METAL
120,26-03-2012,3022.05,3034.35,2933.1,2954.25,37370356,9351400000,NIFTY METAL
121,27-03-2012,2996.95,3011.1,2954.9,2996.35,47041642,10842100000,NIFTY METAL
122,28-03-2012,2989,2989,2950.5,2967.15,36042248,8337100000,NIFTY METAL
123,29-03-2012,2937.9,2990.7,2926.25,2974.25,54531534,11814200000,NIFTY METAL
124,30-03-2012,2983.65,3063.7,2983.65,3054.75,44572010,9629900000,NIFTY METAL
125,02-04-2012,3047.25,3073.7,3033.95,3042.25,28940027,6482200000,NIFTY METAL
126,03-04-2012,3064.45,3107.05,3064.45,3092.15,35548396,7428600000,NIFTY METAL
127,04-04-2012,3064.5,3077.7,3042.1,3059.85,27335137,6452000000,NIFTY METAL
128,09-04-2012,3035.2,3035.2,2944.5,2954.25,26856487,5998200000,NIFTY METAL
129,10-04-2012,2964.4,2964.4,2906.2,2926.65,33602793,7285200000,NIFTY METAL
130,11-04-2012,2899.8,2925.65,2872.35,2886.4,39133685,8336200000,NIFTY METAL
131,12-04-2012,2912.4,2966.6,2908.3,2959.75,36827475,7840100000,NIFTY METAL
132,13-04-2012,2984.7,3005.25,2935.05,2945.55,37907842,10536900000,NIFTY METAL
133,16-04-2012,2924.55,2959.3,2916,2952.8,21542601,5269600000,NIFTY METAL
134,17-04-2012,2972.7,3014.25,2962.7,3010.35,30828727,7321100000,NIFTY METAL
135,18-04-2012,3028.5,3064.2,3028.5,3038.6,31317248,7739700000,NIFTY METAL
136,19-04-2012,3048.55,3069,3022,3060.4,25540315,5947000000,NIFTY METAL
137,20-04-2012,3044.7,3077,3002.35,3033.2,31830803,7687500000,NIFTY METAL
138,23-04-2012,3019.15,3045.85,2926.3,2941,35202093,7891400000,NIFTY METAL
139,24-04-2012,2948.3,2972.2,2920.65,2962.45,30309196,7270500000,NIFTY METAL
140,25-04-2012,2967.4,2994.65,2919.2,2949.85,27121875,6516900000,NIFTY METAL
141,26-04-2012,2965.9,2982.1,2939.1,2947.95,37091438,9073000000,NIFTY METAL
142,27-04-2012,2950.8,2972.45,2892.75,2922.8,24313639,5454100000,NIFTY METAL
143,28-04-2012,2932.95,2949.3,2926.95,2943.15,1670144,423500000,NIFTY METAL
144,30-04-2012,2941.85,2981.55,2935.65,2970.25,23671892,5390300000,NIFTY METAL
145,02-05-2012,2974.8,2998.55,2947.75,2957,24040611,5574100000,NIFTY METAL
146,03-05-2012,2941.65,2945.65,2888.8,2902.15,22869481,5742000000,NIFTY METAL
147,04-05-2012,2890.65,2891.75,2813.8,2828.5,33740157,6852600000,NIFTY METAL
148,07-05-2012,2788.35,2881.15,2762.2,2871.8,32701253,7676500000,NIFTY METAL
149,08-05-2012,2880.2,2894.05,2807.9,2825.2,36423175,8008400000,NIFTY METAL
150,09-05-2012,2798.05,2820.4,2756.35,2767.5,38767874,8060400000,NIFTY METAL
151,10-05-2012,2769.15,2809.95,2728.3,2733.55,26350863,6439800000,NIFTY METAL
152,11-05-2012,2714.8,2742.85,2682.95,2700.9,31771873,8450800000,NIFTY METAL
153,14-05-2012,2702.55,2735.3,2653.75,2686.6,27591676,6796100000,NIFTY METAL
154,15-05-2012,2664.55,2748.1,2664.55,2741.2,33644316,7763900000,NIFTY METAL
155,16-05-2012,2695.7,2698.05,2658.35,2665.35,38224774,8204500000,NIFTY METAL
156,17-05-2012,2676,2714,2654.85,2675.8,35889074,7819200000,NIFTY METAL
157,18-05-2012,2630.1,2694.35,2616.4,2687.25,38290981,8498000000,NIFTY METAL
158,21-05-2012,2674.9,2723.8,2674.9,2704.85,36752122,8869300000,NIFTY METAL
159,22-05-2012,2728.4,2742.9,2644.6,2654.5,31639148,6495700000,NIFTY METAL
160,23-05-2012,2641,2653.45,2616.1,2630.95,28677135,5953800000,NIFTY METAL
161,24-05-2012,2644.95,2675.65,2610.9,2667.75,29470395,6459200000,NIFTY METAL
162,25-05-2012,2656.15,2704.7,2652.15,2690.55,28958305,6408000000,NIFTY METAL
163,28-05-2012,2690.6,2722.6,2690.6,2716.7,22236465,5126800000,NIFTY METAL
164,29-05-2012,2731.3,2752.75,2718.15,2731.6,35790709,6923700000,NIFTY METAL
165,30-05-2012,2713.6,2732.1,2699.8,2706.1,25585605,5138500000,NIFTY METAL
166,31-05-2012,2688.25,2714.85,2687.5,2698.55,74641195,13386700000,NIFTY METAL
167,01-06-2012,2689,2701.3,2644.8,2654.65,29369328,6638300000,NIFTY METAL
168,04-06-2012,2630.8,2642.85,2594.6,2635.5,28400831,5991100000,NIFTY METAL
169,05-06-2012,2649.15,2677.2,2620.4,2626.8,27275555,5605100000,NIFTY METAL
170,06-06-2012,2646.1,2708.85,2646.1,2705.65,30981242,7850400000,NIFTY METAL
171,07-06-2012,2732.2,2748.35,2715.75,2739.65,32928320,8202200000,NIFTY METAL
172,08-06-2012,2749.75,2762.1,2714.65,2752.05,33183802,6918500000,NIFTY METAL
173,11-06-2012,2782.6,2809.8,2734.1,2749.6,30416511,6537500000,NIFTY METAL
174,12-06-2012,2729.15,2788.65,2725.25,2780.25,31439975,6704900000,NIFTY METAL
175,13-06-2012,2785.75,2796.55,2761.9,2770.05,26456434,6096500000,NIFTY METAL
176,14-06-2012,2767.6,2783,2731.05,2737.4,25165907,5359500000,NIFTY METAL
177,15-06-2012,2751.1,2781.05,2750.35,2775.85,37833781,6949800000,NIFTY METAL
178,18-06-2012,2799.3,2822.85,2736.4,2750.7,41379187,8108200000,NIFTY METAL
179,19-06-2012,2745.15,2770.85,2719.85,2748.3,41254367,6978900000,NIFTY METAL
180,20-06-2012,2767.2,2788.85,2745.25,2778.25,45349450,8879100000,NIFTY METAL
181,21-06-2012,2762.5,2805.05,2754.9,2798.85,26232679,5341800000,NIFTY METAL
182,22-06-2012,2771.25,2781.8,2734.4,2755.9,29863257,6144700000,NIFTY METAL
183,25-06-2012,2766.85,2792.45,2726.45,2736.05,31745147,5697900000,NIFTY METAL
184,26-06-2012,2728.25,2740.55,2709.8,2726.95,25994978,5562800000,NIFTY METAL
185,27-06-2012,2743.35,2777.65,2741.75,2772.4,26581734,5854300000,NIFTY METAL
186,28-06-2012,2781.15,2791.05,2760.6,2776.5,32929596,7413200000,NIFTY METAL
187,29-06-2012,2805,2875.1,2805,2870.35,35735434,9257300000,NIFTY METAL
188,02-07-2012,2882.8,2911.15,2856.5,2882.9,27035074,6506300000,NIFTY METAL
189,03-07-2012,2887.75,2917.05,2879.9,2905.8,31551086,7589800000,NIFTY METAL
190,04-07-2012,2916.35,2978.9,2916.35,2965.6,51982185,11794800000,NIFTY METAL
191,05-07-2012,2969.45,2980.85,2948.5,2956.15,28691985,7672200000,NIFTY METAL
192,06-07-2012,2951,2951,2907.45,2924.95,24387160,6496900000,NIFTY METAL
193,09-07-2012,2897.7,2900.9,2862.3,2882.35,21612519,5150200000,NIFTY METAL
194,10-07-2012,2885.9,2930.7,2885.9,2926.4,29404290,6479900000,NIFTY METAL
195,11-07-2012,2911.15,2935.05,2893.25,2898,24950321,5334300000,NIFTY METAL
196,12-07-2012,2883.2,2889,2859.65,2864.6,27588488,5657200000,NIFTY METAL
197,13-07-2012,2873.15,2886.95,2828.3,2831.75,24889039,5707100000,NIFTY METAL
198,16-07-2012,2820.2,2825.3,2765.55,2770.15,24115248,5555400000,NIFTY METAL
199,17-07-2012,2782.05,2799.05,2760.35,2767.4,23489082,5268300000,NIFTY METAL
200,18-07-2012,2769.05,2816.15,2767.45,2808.4,24270433,6174900000,NIFTY METAL
201,19-07-2012,2833.55,2845.25,2825.75,2832.35,18056645,4597300000,NIFTY METAL
202,20-07-2012,2822.35,2848.45,2811.1,2834.4,18101422,4230300000,NIFTY METAL
203,23-07-2012,2809.4,2809.4,2734.15,2740.5,20831628,4637300000,NIFTY METAL
204,24-07-2012,2739.55,2758.1,2731.9,2745.25,21756089,4574400000,NIFTY METAL
205,25-07-2012,2725.5,2726.45,2675.25,2687.7,34870929,8240400000,NIFTY METAL
206,26-07-2012,2699.65,2702,2638,2651.9,47945471,11190600000,NIFTY METAL
207,27-07-2012,2696.3,2739.45,2691.3,2708.2,26862259,6414500000,NIFTY METAL
208,30-07-2012,2727.4,2763.9,2720.3,2760.25,18676782,4765100000,NIFTY METAL
209,31-07-2012,2766.6,2791.3,2719.9,2783.15,27114343,6409800000,NIFTY METAL
210,01-08-2012,2777.9,2793.7,2751.1,2762.8,20807056,5942300000,NIFTY METAL
211,02-08-2012,2755.9,2763.55,2740.2,2757.25,19592829,5101600000,NIFTY METAL
212,03-08-2012,2735.05,2735.05,2682.1,2714.45,22741108,6074100000,NIFTY METAL
213,06-08-2012,2745,2767.45,2735.65,2743.8,18716540,4079500000,NIFTY METAL
214,07-08-2012,2746.45,2771.9,2740.85,2759.15,17982282,5577900000,NIFTY METAL
215,08-08-2012,2767.85,2811.4,2767.85,2779.7,30703466,7673200000,NIFTY METAL
216,09-08-2012,2782.25,2813.95,2777.3,2796.2,30124629,6639700000,NIFTY METAL
217,10-08-2012,2785.6,2813.35,2777.7,2797,22782512,5184900000,NIFTY METAL
218,13-08-2012,2808.45,2808.6,2777.3,2797.75,24066912,5258500000,NIFTY METAL
219,14-08-2012,2787.45,2833.05,2787.1,2822.45,27200900,6883600000,NIFTY METAL
220,16-08-2012,2812.6,2821,2778.85,2786.05,26974683,6341600000,NIFTY METAL
221,17-08-2012,2783.3,2797.05,2737.3,2741.25,37004114,8848200000,NIFTY METAL
222,21-08-2012,2736.55,2766.6,2713.2,2762.65,30891588,6532100000,NIFTY METAL
223,22-08-2012,2751.3,2771.85,2748.1,2756.65,22310032,5209600000,NIFTY METAL
224,23-08-2012,2768.35,2799.6,2751.55,2771.85,26728414,6647400000,NIFTY METAL
225,24-08-2012,2755.85,2771.2,2740.2,2760.45,29315016,8340800000,NIFTY METAL
226,27-08-2012,2767.75,2772.35,2719.95,2722.95,21666443,6151500000,NIFTY METAL
227,28-08-2012,2727.1,2728.05,2619.45,2647,34510169,8768300000,NIFTY METAL
228,29-08-2012,2645.5,2649.9,2595.15,2600.9,33659425,6742900000,NIFTY METAL
229,30-08-2012,2589.8,2601.25,2567.75,2590,43529813,8746100000,NIFTY METAL
230,31-08-2012,2583.05,2586.55,2533.1,2554.8,36867790,7501500000,NIFTY METAL
231,03-09-2012,2570.1,2582.9,2534.7,2544.05,32695922,8076200000,NIFTY METAL
232,04-09-2012,2546.45,2565.45,2528.7,2561.05,25203951,6065600000,NIFTY METAL
233,05-09-2012,2538.4,2542.25,2487.95,2497.6,35946755,7854600000,NIFTY METAL
234,06-09-2012,2500.5,2526,2497.25,2508.6,32315691,6540800000,NIFTY METAL
235,07-09-2012,2550.5,2578.35,2550.5,2575.75,33006779,6931200000,NIFTY METAL
236,08-09-2012,2578.2,2605.45,2578.2,2600,4363361,859600000,NIFTY METAL
237,10-09-2012,2594.7,2631.4,2594.7,2618.75,31496809,6984000000,NIFTY METAL
238,11-09-2012,2587.25,2587.95,2566.2,2582.4,33740001,6064500000,NIFTY METAL
239,12-09-2012,2593.9,2637.15,2571.75,2633.15,44268731,9111100000,NIFTY METAL
240,13-09-2012,2632.8,2639.85,2611.05,2628.5,30122917,6409700000,NIFTY METAL
241,14-09-2012,2685.65,2748.75,2685.65,2740.9,59541624,12384100000,NIFTY METAL
242,17-09-2012,2768.3,2795.95,2738.75,2775.55,56407308,13429200000,NIFTY METAL
243,18-09-2012,2764.45,2777.85,2751.75,2771.8,38845849,9070900000,NIFTY METAL
244,20-09-2012,2738.35,2761.85,2703.85,2708.75,33994605,8391600000,NIFTY METAL
245,21-09-2012,2718.75,2824.55,2715.45,2817.7,65744684,14648800000,NIFTY METAL
246,24-09-2012,2817.1,2876.7,2811.75,2827.75,42310678,10534300000,NIFTY METAL
247,25-09-2012,2828.4,2843.35,2779.8,2788.55,32407550,7618900000,NIFTY METAL
248,26-09-2012,2770,2789.75,2744,2752.55,34983638,8046700000,NIFTY METAL
249,27-09-2012,2751.1,2768.85,2729.75,2734.25,53376831,10489500000,NIFTY METAL
250,28-09-2012,2761.05,2810.35,2761.05,2768.4,34226366,8559900000,NIFTY METAL
251,01-10-2012,2776.7,2784.9,2741.75,2777.1,25488868,6286300000,NIFTY METAL
252,03-10-2012,2779.7,2791.65,2770.45,2787.25,29346810,8155200000,NIFTY METAL
253,04-10-2012,2797.65,2815.25,2786.1,2790.75,26203425,7004300000,NIFTY METAL
254,05-10-2012,2807.5,2817.6,2466.6,2790.75,33735907,9015500000,NIFTY METAL
255,08-10-2012,2788.8,2806.55,2753.6,2759.7,26438551,7083400000,NIFTY METAL
256,09-10-2012,2777.75,2804.6,2755.35,2768.75,19946534,5033500000,NIFTY METAL
257,10-10-2012,2755.85,2779.85,2738.7,2743.25,23101725,5788000000,NIFTY METAL
